Name,Nationality,Age,Height(cm),Weight(kg),Overall,Potential,Club,Preferred Foot,W/F,Best Position,Value(Thousand$),IR
Ricardo Pereira,Portugal,26,175,70,85,86,Leicester City,Right,3,RB,58000.0,3
T. Werner,Germany,24,180,76,85,88,Chelsea,Right,3,ST,74000.0,3
Parejo,Spain,31,182,74,85,85,Villarreal CF,Right,2,CM,44000.0,2
M. Icardi,Argentina,27,181,75,85,86,Paris Saint-Germain,Right,3,ST,63000.0,3
F. de Jong,Netherlands,23,180,74,85,90,FC Barcelona,Right,3,CM,81000.0,3
L. Insigne,Italy,29,163,59,85,85,Napoli,Right,3,LW,53000.0,3
T. Alderweireld,Belgium,31,186,81,85,85,Tottenham Hotspur,Right,3,CB,37000.0,3
Thiago Silva,Brazil,35,183,79,85,85,Chelsea,Right,4,CB,14000.0,4
Koke,Spain,28,176,75,85,85,Atlético Madrid,Right,3,CM,54000.0,3
B. Leno,Germany,28,190,82,85,87,Arsenal,Right,3,GK,46000.0,3
R. Lukaku,Belgium,27,191,94,85,86,Inter,Left,3,ST,63000.0,3
Alex Sandro,Brazil,29,180,80,85,85,Juventus,Left,3,LB,47000.0,3
Thiago,Spain,29,174,70,85,85,Liverpool,Right,3,CM,52000.0,3
K. Walker,England,30,183,70,85,85,Manchester City,Right,3,RB,46000.0,3
C. Eriksen,Denmark,28,181,76,85,85,Inter,Right,3,CAM,54000.0,3
P. Gulácsi,Hungary,30,191,86,85,85,RB Leipzig,Right,2,GK,36000.0,2
L. Bonucci,Italy,33,190,85,85,85,Juventus,Right,3,CB,26000.0,3
D. Mertens,Belgium,33,169,61,85,85,Napoli,Right,3,CF,34000.0,3
Luis Alberto,Spain,27,183,74,85,85,Lazio,Right,2,CAM,57000.0,2
D. Godín,Uruguay,34,187,78,85,85,Cagliari,Right,3,CB,17000.0,3
G. Wijnaldum,Netherlands,29,175,69,85,85,Liverpool,Right,3,CM,52000.0,3
M. Pjanić,Bosnia Herzegovina,30,178,72,85,85,FC Barcelona,Right,3,CM,51000.0,3
M. Reus,Germany,31,180,71,85,85,Borussia Dortmund,Right,4,CAM,44000.0,4
W. Ndidi,Nigeria,23,183,74,84,88,Leicester City,Right,1,CB,55000.0,1
J. Giménez,Uruguay,25,185,79,84,88,Atlético Madrid,Right,2,CB,52000.0,2
A. Onana,Cameroon,24,190,93,84,88,Ajax,Right,3,GK,48000.0,3
J. Brandt,Germany,24,185,83,84,88,Borussia Dortmund,Right,3,CAM,60000.0,3
Oyarzabal,Spain,23,181,79,84,90,Real Sociedad,Left,1,CAM,66000.0,1
L. Martínez,Argentina,22,174,81,84,91,Inter,Right,1,ST,86000.0,1
E. Haaland,Norway,19,194,88,84,92,Borussia Dortmund,Left,2,ST,92000.0,2
Alex Telles,Brazil,27,181,71,84,85,Manchester United,Left,3,LB,44000.0,3
K. Coman,France,24,179,75,84,88,FC Bayern München,Right,3,RM,60000.0,3
Grimaldo,Spain,24,171,69,84,88,SL Benfica,Left,3,LWB,56000.0,3
Arthur,Brazil,23,171,73,84,89,Juventus,Right,2,CM,63000.0,2
N. Süle,Germany,24,195,97,84,89,FC Bayern München,Right,2,CB,57000.0,2
R. Guerreiro,Portugal,26,170,71,84,85,Borussia Dortmund,Left,3,CAM,49000.0,3
A. Martial,France,24,184,76,84,88,Manchester United,Right,3,ST,61000.0,3
Felipe,Brazil,31,190,84,84,84,Atlético Madrid,Right,3,CB,29000.0,3
L. Goretzka,Germany,25,189,76,84,88,FC Bayern München,Right,3,CM,58000.0,3
Saúl,Spain,25,184,75,84,87,Atlético Madrid,Left,3,CM,55000.0,3
T. Partey,Ghana,27,185,77,84,85,Arsenal,Right,2,CDM,48000.0,2
W. Ben Yedder,France,29,170,68,84,84,AS Monaco,Right,2,CF,42000.0,2
N. Tagliafico,Argentina,27,172,65,84,84,Ajax,Left,3,LB,40000.0,3
R. Jiménez,Mexico,29,188,81,84,84,Wolverhampton Wanderers,Right,3,ST,42000.0,3
M. Brozović,Croatia,27,181,68,84,85,Inter,Right,2,CDM,43000.0,2
L. Digne,France,26,178,74,84,85,Everton,Left,2,LB,45000.0,2
R. Bürki,Switzerland,29,187,85,84,85,Borussia Dortmund,Right,3,GK,32000.0,3
J. Iličić,Slovenia,32,190,79,84,84,Atalanta,Left,3,CAM,34000.0,3
José Callejón,Spain,33,178,73,84,84,Fiorentina,Right,3,RM,26000.0,3
Pizzi,Portugal,30,177,72,84,84,SL Benfica,Right,3,RM,40000.0,3
Isco,Spain,28,176,79,84,84,Real Madrid,Right,3,CAM,42000.0,3
D. Alaba,Austria,28,180,78,84,84,FC Bayern München,Left,4,CB,36000.0,4
I. Gueye,Senegal,30,174,66,84,84,Paris Saint-Germain,Right,2,CDM,35000.0,2
J. Corona,Mexico,27,173,62,84,84,FC Porto,Right,3,RM,45000.0,3
Iago Aspas,Spain,32,176,67,84,84,RC Celta,Left,2,ST,34000.0,2
Douglas Costa,Brazil,29,172,70,84,84,FC Bayern München,Left,3,LM,41000.0,3
S. de Vrij,Netherlands,28,189,78,84,85,Inter,Right,3,CB,40000.0,3
Fernandinho,Brazil,35,179,67,84,84,Manchester City,Right,3,CB,11000.0,3
Lucas Leiva,Brazil,33,179,78,84,84,Lazio,Right,3,CDM,21000.0,3
Azpilicueta,Spain,30,178,77,84,84,Chelsea,Right,3,RB,36000.0,3
S. Sirigu,Italy,33,192,80,84,84,Torino,Right,3,GK,13000.0,3
K. Schmeichel,Denmark,33,189,89,84,84,Leicester City,Right,2,GK,13000.0,2
A. Witsel,Belgium,31,186,81,84,84,Borussia Dortmund,Right,3,CDM,29000.0,3
Rui Patrício,Portugal,32,190,84,84,84,Wolverhampton Wanderers,Left,3,GK,21000.0,3
E. Cavani,Uruguay,33,185,77,84,84,Manchester United,Right,4,ST,27000.0,4
Jesús Navas,Spain,34,172,60,84,84,Sevilla FC,Right,2,RB,15000.0,2
A. Hakimi,Morocco,21,181,73,83,88,Inter,Right,1,RM,56000.0,1
F. Mendy,France,25,180,73,83,88,Real Madrid,Left,1,LB,49000.0,1
O. Dembélé,France,23,178,67,83,89,FC Barcelona,Left,3,LM,57000.0,3
T. Hazard,Belgium,27,175,71,83,83,Borussia Dortmund,Right,2,LM,38000.0,2
Ronaldo Cabrais,Brazil,28,177,75,83,83,Grêmio,Right,1,RM,36000.0,1
A. Wan-Bissaka,England,22,183,72,83,88,Manchester United,Right,1,RB,52000.0,1
D. Zakaria,Switzerland,23,190,80,83,87,Borussia Mönchengladbach,Right,1,CDM,47000.0,1
N. Fekir,France,26,173,75,83,84,Real Betis,Left,3,CAM,43000.0,3
M. Acuña,Argentina,28,172,69,83,83,Sevilla FC,Left,2,LB,33000.0,2
S. Bergwijn,Netherlands,22,178,78,83,88,Tottenham Hotspur,Right,2,CAM,56000.0,2
J. Gomez,England,23,188,77,83,88,Liverpool,Right,2,CB,49000.0,2
M. Ødegaard,Norway,21,178,68,83,89,Real Madrid,Left,3,CAM,58000.0,3
D. van de Beek,Netherlands,23,184,74,83,87,Manchester United,Right,3,CM,52000.0,3
Pau López,Spain,25,189,77,83,88,Roma,Left,1,GK,42000.0,1
M. Dúbravka,Slovakia,31,190,80,83,83,Newcastle United,Right,1,GK,19000.0,1
Diego Carlos,Brazil,27,185,86,83,85,Sevilla FC,Right,2,CB,38000.0,2
F. Valverde,Uruguay,21,182,78,83,90,Real Madrid,Right,1,CM,73000.0,1
Gerard Moreno,Spain,28,180,77,83,83,Villarreal CF,Left,1,ST,37000.0,1
Gabriel Jesus,Brazil,23,175,73,83,87,Manchester City,Right,2,ST,52000.0,2
Rafa,Portugal,27,172,66,83,83,SL Benfica,Right,2,LM,38000.0,2
Lucas Moura,Brazil,27,174,70,83,83,Tottenham Hotspur,Right,3,RM,38000.0,3
T. Strakosha,Albania,25,193,78,83,88,Lazio,Right,1,GK,42000.0,1
F. Kostić,Serbia,27,184,82,83,83,Eintracht Frankfurt,Left,2,LM,38000.0,2
Gayà,Spain,25,172,66,83,88,Valencia CF,Left,2,LWB,49000.0,2
D. Alli,England,24,188,80,83,87,Tottenham Hotspur,Right,3,CAM,52000.0,3
João Cancelo,Portugal,26,182,74,83,86,Manchester City,Right,2,RWB,43000.0,2
A. Romagnoli,Italy,25,188,78,83,87,Milan,Left,2,CB,45000.0,2
Juan Bernat,Spain,27,170,67,83,84,Paris Saint-Germain,Left,2,LB,38000.0,2
E. Višća,Bosnia Herzegovina,30,172,63,83,83,Medipol Başakşehir FK,Right,2,RM,35000.0,2
S. Umtiti,France,26,182,75,83,86,FC Barcelona,Left,3,CB,42000.0,3
Jorginho,Italy,28,180,68,83,83,Chelsea,Right,2,CM,36000.0,2
Portu,Spain,28,167,66,83,83,Real Sociedad,Right,1,RW,36000.0,1
M. Sabitzer,Austria,26,178,76,83,85,RB Leipzig,Right,3,CAM,44000.0,3
D. Zapata,Colombia,29,189,88,83,83,Atalanta,Right,2,ST,36000.0,2
M. Kovačić,Croatia,26,176,80,83,86,Chelsea,Right,3,CM,47000.0,3
Nélson Semedo,Portugal,26,177,69,83,86,Wolverhampton Wanderers,Right,2,RWB,43000.0,2
Fernando,Brazil,32,183,76,83,83,Sevilla FC,Right,2,CDM,24000.0,2
D. Tadić,Serbia,31,181,76,83,83,Ajax,Left,3,CF,30000.0,3
B. Matuidi,France,33,180,75,83,83,Inter Miami,Left,3,CDM,18000.0,3
K. Trippier,England,29,173,69,83,83,Atlético Madrid,Right,2,RB,32000.0,2
Sergi Roberto,Spain,28,178,68,83,83,FC Barcelona,Right,3,RB,33000.0,3
A. Lopes,Portugal,29,184,81,83,84,Olympique Lyonnais,Left,2,GK,28000.0,2
C. Aránguiz,Chile,31,171,70,83,83,Bayer 04 Leverkusen,Right,2,CDM,25000.0,2
J. Matip,Cameroon,28,194,90,83,84,Liverpool,Right,2,CB,34000.0,2
Aitor,Spain,29,182,78,83,83,Levante UD,Right,1,GK,25000.0,1
A. Lacazette,France,29,176,77,83,83,Arsenal,Right,3,ST,36000.0,3
W. Zaha,Ivory Coast,27,180,66,83,83,Crystal Palace,Right,2,LM,38000.0,2
K. Manolas,Greece,29,189,83,83,84,Napoli,Right,3,CB,33000.0,3
L. Hrádecký,Finland,30,192,82,83,83,Bayer 04 Leverkusen,Right,2,GK,24000.0,2
Muniain,Spain,27,170,66,83,83,Athletic Club de Bilbao,Right,2,LW,38000.0,2
Coutinho,Brazil,28,172,68,83,83,FC Barcelona,Right,4,CAM,36000.0,4
Oscar,Brazil,28,179,66,83,83,Shanghai SIPG FC,Right,3,CAM,36000.0,3
K. Casteels,Belgium,28,197,86,83,85,VfL Wolfsburg,Left,2,GK,31000.0,2
F. Acerbi,Italy,32,192,88,83,83,Lazio,Left,2,CB,23000.0,2
I. Gündoğan,Germany,29,180,80,83,83,Manchester City,Right,3,CM,35000.0,3
K. Trapp,Germany,29,189,88,83,83,Eintracht Frankfurt,Right,2,GK,25000.0,2
Paulinho,Brazil,31,183,80,83,83,Guangzhou Evergrande Taobao FC,Right,3,CM,30000.0,3
Yuri Berchiche,Spain,30,181,80,83,83,Athletic Club de Bilbao,Left,2,LB,31000.0,2
Allan,Brazil,29,175,74,83,83,Everton,Right,2,CDM,35000.0,2
A. Vidal,Chile,33,180,75,83,83,Inter,Right,4,CM,22000.0,4
E. Džeko,Bosnia Herzegovina,34,193,80,83,83,Roma,Right,3,ST,17000.0,3
R. Nainggolan,Belgium,32,176,65,83,83,Inter,Right,3,CDM,29000.0,3
Marcelo,Brazil,32,174,75,83,83,Real Madrid,Left,4,LB,25000.0,4
G. Bale,Wales,30,185,82,83,83,Tottenham Hotspur,Left,4,RW,35000.0,4
E. Banega,Argentina,32,174,71,83,83,Al Shabab,Right,3,CM,28000.0,3
J. Vertonghen,Belgium,33,189,86,83,83,SL Benfica,Left,3,CB,17000.0,3
S. Mandanda,France,35,185,82,83,83,Olympique de Marseille,Right,3,GK,4000.0,3
Z. Ibrahimović,Sweden,38,195,95,83,83,Milan,Right,5,ST,12000.0,5
C. Vela,Mexico,31,177,77,83,83,Los Angeles FC,Left,3,RW,30000.0,3
João Moutinho,Portugal,33,170,61,83,83,Wolverhampton Wanderers,Right,3,CM,22000.0,3
G. Higuaín,Argentina,32,186,89,83,83,Inter Miami,Right,4,ST,29000.0,4
Renato Augusto,Brazil,32,186,86,83,83,Beijing Sinobo Guoan FC,Right,2,CM,28000.0,2
L. Hernández,France,24,182,76,82,87,FC Bayern München,Left,3,CB,41000.0,3
D. Djené,Togo,28,178,72,82,83,Getafe CF,Right,1,CB,29000.0,1
F. Thauvin,France,27,179,70,82,82,Olympique de Marseille,Left,2,RW,32000.0,2
J. Pavlenka,Czech Republic,28,196,81,82,83,SV Werder Bremen,Right,1,GK,24000.0,1
Josué Chiamulera,Brazil,28,185,80,82,82,Grêmio,Right,1,CB,26000.0,1
G. Lo Celso,Argentina,24,177,68,82,87,Tottenham Hotspur,Left,1,CAM,46000.0,1
Marcos Llorente,Spain,25,184,74,82,85,Atlético Madrid,Right,1,CM,40000.0,1
N. Pépé,Ivory Coast,25,183,73,82,85,Arsenal,Left,1,LM,40000.0,1
K. Laimer,Austria,23,180,72,82,86,RB Leipzig,Right,1,CDM,40000.0,1
Rúben Neves,Portugal,23,180,80,82,87,Wolverhampton Wanderers,Right,2,CM,46000.0,2
David Soria,Spain,27,192,85,82,84,Getafe CF,Right,1,GK,28000.0,1
R. Gosens,Germany,25,183,76,82,82,Atalanta,Left,1,LM,34000.0,1
Marco Asensio,Spain,24,182,76,82,86,Real Madrid,Left,3,CAM,43000.0,3
Y. Carrasco,Belgium,26,185,73,82,82,Atlético Madrid,Right,3,LM,33000.0,3
Reguilón,Spain,23,178,68,82,89,Tottenham Hotspur,Left,1,LB,58000.0,1
A. Kramarić,Croatia,29,177,73,82,82,TSG 1899 Hoffenheim,Right,2,ST,30000.0,2
Q. Promes,Netherlands,28,174,72,82,82,Ajax,Right,3,CAM,30000.0,3
M. Maignan,France,24,191,91,82,86,LOSC Lille,Right,1,GK,34000.0,1
L. Ocampos,Argentina,25,188,84,82,83,Sevilla FC,Right,2,ST,36000.0,2
Kepa,Spain,25,186,88,82,86,Chelsea,Right,2,GK,33000.0,2
E. Can,Germany,26,186,86,82,84,Borussia Dortmund,Right,2,CB,37000.0,2
M. Ginter,Germany,26,191,86,82,83,Borussia Mönchengladbach,Right,3,CB,31000.0,3
Pacheco,Spain,28,186,81,82,84,Deportivo Alavés,Left,1,GK,26000.0,1
M. Halstenberg,Germany,28,188,87,82,82,RB Leipzig,Left,2,LB,27000.0,2
Anderson Talisca,Brazil,26,190,80,82,85,Guangzhou Evergrande Taobao FC,Left,2,CAM,40000.0,2
A. Correa,Argentina,25,171,70,82,85,Atlético Madrid,Right,1,CAM,40000.0,1
G. Rulli,Argentina,28,189,84,82,84,Villarreal CF,Right,3,GK,26000.0,3
Fabián,Spain,24,189,70,82,88,Napoli,Left,1,CM,48000.0,1
T. Vaclík,Czech Republic,31,188,85,82,82,Sevilla FC,Right,1,GK,16000.0,1
Raphaelito Anjos,Brazil,32,190,85,82,82,Grêmio,Right,1,GK,15000.0,1
H. Maguire,England,27,194,100,82,85,Manchester United,Right,2,CB,34000.0,2
D. Blind,Netherlands,30,180,72,82,82,Ajax,Left,3,CB,25000.0,3
N. Pope,England,28,200,76,82,83,Burnley,Right,1,GK,24000.0,1
Rodrigo,Spain,29,182,77,82,82,Leeds United,Left,3,ST,30000.0,3
A. Areola,France,27,195,94,82,86,Fulham,Right,2,GK,32000.0,2
Mário Fernandes,Russia,29,187,80,82,82,PFC CSKA Moscow,Right,2,RWB,27000.0,2
Neto,Brazil,30,190,84,82,82,FC Barcelona,Right,2,GK,20000.0,2
M. Perin,Italy,27,188,77,82,84,Genoa,Right,2,GK,28000.0,2
A. Marchesín,Argentina,32,188,85,82,82,FC Porto,Right,1,GK,15000.0,1
J. Rodríguez,Colombia,28,180,75,82,82,Everton,Left,4,CAM,30000.0,4
Danilo Pereira,Portugal,28,188,83,82,82,Paris Saint-Germain,Right,3,CDM,27000.0,3
Morata,Spain,27,190,84,82,83,Juventus,Right,3,ST,35000.0,3
Gabriel Paulista,Brazil,29,185,72,82,83,Valencia CF,Right,2,CB,28000.0,2
Canales,Spain,29,176,65,82,82,Real Betis,Left,2,CAM,29000.0,2
K. Bellarabi,Germany,30,184,81,82,82,Bayer 04 Leverkusen,Right,3,RM,29000.0,3
O. Baumann,Germany,30,187,82,82,82,TSG 1899 Hoffenheim,Right,2,GK,20000.0,2
Sergio Asenjo,Spain,31,189,87,82,82,Villarreal CF,Right,2,GK,16000.0,2
L. Bender,Germany,31,185,78,82,82,Bayer 04 Leverkusen,Right,3,RB,22000.0,3
G. Buffon,Italy,42,192,92,82,82,Juventus,Right,4,GK,3000.0,4
A. Ramsey,Wales,29,183,76,82,82,Juventus,Right,3,CM,29000.0,3
Raúl Albiol,Spain,34,187,74,82,82,Villarreal CF,Right,3,CB,10000.0,3
M. Özil,Germany,31,180,71,82,82,Arsenal,Left,4,CAM,25000.0,4
D. Payet,France,33,175,77,82,82,Olympique de Marseille,Right,3,LW,19000.0,3
I. Rakitić,Croatia,32,184,78,82,82,Sevilla FC,Right,4,CM,24000.0,4
Willian,Brazil,31,175,77,82,82,Arsenal,Right,3,RW,25000.0,3
M. Arnautović,Austria,31,192,83,82,82,Shanghai SIPG FC,Right,3,ST,25000.0,3
F. Muslera,Uruguay,34,190,74,82,82,Galatasaray SK,Right,3,GK,5000.0,3
A. Kolarov,Serbia,34,187,81,82,82,Inter,Left,2,LB,11000.0,2
J. Boateng,Germany,31,192,90,82,82,FC Bayern München,Right,4,CB,21000.0,4
I. Perišić,Croatia,31,186,80,82,82,Inter,Left,3,LM,25000.0,3
H. Aouar,France,22,175,70,81,89,Olympique Lyonnais,Right,1,CAM,57000.0,1
M. Lazzari,Italy,26,174,67,81,82,Lazio,Right,1,RM,30000.0,1
Cucurella,Spain,21,172,66,81,89,Getafe CF,Left,1,LM,58000.0,1
Rúben Dias,Portugal,23,187,82,81,87,Manchester City,Right,1,CB,37000.0,1
M. Diaby,France,20,170,67,81,88,Bayer 04 Leverkusen,Left,1,LM,51000.0,1
Ferran Torres,Spain,20,184,77,81,89,Manchester City,Right,1,RM,56000.0,1
João Félix,Portugal,20,181,70,81,93,Atlético Madrid,Right,1,CAM,62000.0,1
Renan Lodi,Brazil,22,173,70,81,87,Atlético Madrid,Left,1,LB,38000.0,1
Raphinha,Brazil,23,176,68,81,85,Leeds United,Left,1,LM,37000.0,1
J. Martínez,Venezuela,27,170,69,81,82,Atlanta United,Right,1,ST,30000.0,1
A. Davies,Canada,19,181,72,81,89,FC Bayern München,Left,1,LB,53000.0,1
Rosberto Dourado,Brazil,20,175,70,81,81,Atlético Mineiro,Right,1,CDM,25000.0,1
Richarlison,Brazil,23,181,71,81,88,Everton,Right,1,ST,52000.0,1
Oswaldinato,Brazil,28,184,79,81,81,Flamengo,Right,1,ST,26000.0,1
Nuno Padrenda,Brazil,24,180,75,81,81,Palmeiras,Right,1,CAM,29000.0,1
Welington Dano,Brazil,20,178,69,81,81,No Club,Left,1,LB,0.0,1
Louri Beretta,Brazil,28,188,83,81,81,Atlético Mineiro,Right,1,ST,26000.0,1
Adryan Zonta,Brazil,28,172,68,81,81,São Paulo,Left,1,LWB,23000.0,1
Juiano Mestres,Brazil,24,181,82,81,81,No Club,Right,1,CB,0.0,1
B. Chilwell,England,23,178,77,81,85,Chelsea,Left,1,LB,34000.0,1
C. Pulisic,United States,21,177,69,81,87,Chelsea,Right,3,RM,41000.0,3
T. Souček,Czech Republic,25,192,86,81,86,West Ham United,Right,1,CDM,34000.0,1
M. Dmitrović,Serbia,28,194,94,81,82,SD Eibar,Left,1,GK,20000.0,1
W. Weghorst,Netherlands,27,197,84,81,81,VfL Wolfsburg,Right,1,ST,28000.0,1
P. Kimpembe,France,24,189,80,81,85,Paris Saint-Germain,Left,2,CB,33000.0,2
Capa,Spain,28,175,75,81,81,Athletic Club de Bilbao,Right,1,RB,23000.0,1
L. Shaw,England,24,181,75,81,83,Manchester United,Left,2,LB,31000.0,2
Y. Tielemans,Belgium,23,176,72,81,85,Leicester City,Right,2,CM,36000.0,2
M. Politano,Italy,26,171,67,81,81,Napoli,Left,2,RM,28000.0,2
J. Maddison,England,23,175,73,81,85,Leicester City,Right,1,CAM,37000.0,1
N. Keïta,Guinea,25,172,64,81,85,Liverpool,Right,2,CAM,35000.0,2
Everton,Brazil,24,174,72,81,86,SL Benfica,Right,1,CAM,39000.0,1
L. Torreira,Uruguay,24,166,60,81,85,Atlético Madrid,Right,2,CDM,33000.0,2
Iñaki Williams,Spain,26,186,79,81,84,Athletic Club de Bilbao,Right,2,ST,34000.0,2
D. Sánchez,Colombia,24,187,79,81,84,Tottenham Hotspur,Right,2,CB,31000.0,2
Jonny,Spain,26,170,70,81,84,Wolverhampton Wanderers,Right,2,LWB,31000.0,2
